,Image,Ezz_bas_x,Ezz_bas_signal_1,Ezz_bas_signal_2,Ezz_bas_quality_1,Ezz_bas_quality_2,Delta_uz_x,Delta_uz_signal_1,Delta_uz_signal_2,Delta_uz_quality_1,Delta_uz_quality_2,Ezz_haut_x,Ezz_haut_signal_1,Ezz_haut_signal_2,Ezz_haut_quality_1,Ezz_haut_quality_2,Charge_x,Charge_signal_1,Charge_signal_2,Charge_quality_1,Charge_quality_2
20,120,158.06955640709614,6.974633444378835,29.735469007962596,5.078092748401575,4.313132339695353,0.0028424076834951775,0.00029530094085698414,0.0006751845210399691,3.666169272486309,3.119385156424323,213.22274621862368,12.710356477220959,43.542439532582335,4.584736830720059,3.8797580165228878,915.3371428571428,-44.652461623195876,108.11655009757492,7.5285068868640055,6.330449583460377
21,121,142.73625621212594,11.758061550247591,29.487139957525034,4.401997151653684,3.8061471870717933,0.0027805187901328112,0.0003972375342774897,0.0006931399302983572,3.430367625213613,3.0044615358507634,193.91109548715124,19.593077682493103,43.609086076436455,3.9857997678739365,3.4366712160044117,699.417142857143,-23.84595552050292,95.15028165337425,5.672031438401087,4.73882967570139
22,122,118.4462491344354,16.360381911770716,28.335734815431,3.4309657260000406,3.028490569673098,0.002594156554548,0.0004908680407395553,0.0006907394348405583,3.0273610412224627,2.739676842034512,167.76021082946386,26.13411650499462,42.356063819339234,3.2382955072145005,2.867378979742088,457.5371428571429,-1.5537144056800258,78.82395112373035,3.600318862276023,2.9699747359812565
23,123,91.92027446599224,20.321480662970473,26.396364532161094,2.406337079209069,2.2021685795756922,0.002276122283209866,0.0005668318136741364,0.0006682230225766902,2.460261320134131,2.3143242345945696,137.83082551651364,31.67953701160503,39.9086428141281,2.4271603498641774,2.239000982229204,208.53714285714287,19.99560999020479,60.769772363204204,1.4785954160587065,1.1588330344677045
24,124,62.36293910981484,23.699133249985426,23.6991332499882,1.299437388844975,1.299437388844882,0.001908307159464917,0.0006265213862731426,0.0006265213862731889,1.8449339153798068,1.8449339153797402,104.06038198783244,36.315412359617525,36.31541235962129,1.5489958388658918,1.5489958388658056,-29.622857142857136,40.97084423274304,40.97084423276167,0.553615543850727,0.5536155438508731
25,125,34.23056861872474,26.396364532160533,20.321480662971354,0.2632968347407417,0.46746533437406973,0.001517419952631139,0.0006682230225766824,0.0005668318136741526,1.222288661538668,1.3682257470781947,67.12080937019964,39.90864281412736,31.679537011606257,0.6222090436117925,0.8103684112467211,-167.16285714285712,60.76977236319964,19.99560999020993,1.7875114094660127,1.4677490278750867
26,126,15.83444990831747,28.335734815429596,16.36038191177455,0.4201510083047099,0.01767585197794309,0.0011630752577200193,0.0006907394348405467,0.0004908680407396312,0.6798549315376039,0.9675391307254287,42.4130620082106,42.35606381933755,26.134116505000033,0.001303269569265239,0.37221979704151553,-374.5628571428571,78.82395112371489,-1.553714405660351,3.555586115222444,2.925241988927953
27,127,-15.791621754038417,29.461563208645394,11.929563348859464,1.5208973663382654,0.9316709409412698,0.0006628696539168706,0.0006934241586370258,0.00040081104889869363,0.043978520595900565,0.3771931459429762,3.698224534129288,43.587407936503574,19.83836435269268,0.9120703639713814,0.3690459904975111,-708.6428571428571,94.61503042354586,-23.058430402884152,6.299372941382045,5.376544760641007
28,128,-55.29552204524403,29.741526267054578,7.156237362800933,2.857978348396995,2.09891782170051,9.259245133293385e-05,0.0006762001133720822,0.0002992464473062302,0.8400136680331589,0.2974467137129426,-47.009816729961614,43.567322279001,12.973036696647025,2.0710557874813165,1.3715142374559766,-907.342857142857,107.68963558995443,-43.90112019281152,7.960168606269754,6.771351515366717
29,129,-80.96937816447927,29.167586024563505,2.177450007646363,3.7015520324090962,2.794450646747724,-0.00046287797127290774,0.0006395618153316929,0.00018909023791136766,1.5867928904423865,0.9384081849171403,-84.43926537348432,42.296383522321435,5.735242652760871,2.8978239100694774,2.061849587814382,-1061.7828571428572,117.67238412203871,-63.483373275138014,9.24961777207711,7.828943672279978
