,Image,Time,Ezz_bas_x,Ezz_bas_signal_1,Ezz_bas_signal_2,Ezz_bas_quality_1,Ezz_bas_quality_2,Delta_uz_x,Delta_uz_signal_1,Delta_uz_signal_2,Delta_uz_quality_1,Delta_uz_quality_2,Ezz_haut_x,Ezz_haut_signal_1,Ezz_haut_signal_2,Ezz_haut_quality_1,Ezz_haut_quality_2,Charge_x,Charge_signal_1,Charge_signal_2,Charge_quality_1,Charge_quality_2
28,58,132.273,-84.08502203357352,39.007157088212324,4.625642041904554,2.908323893388287,2.095984860856136,-0.0005682306161629063,0.0006127072018769702,0.0001306135771253819,1.710203724351505,1.012048156851131,-84.40368671982651,51.023658356028584,8.849770797226746,2.3944117148438764,1.6487598645861454,-1107.432857142857,208.1864829166039,-20.900587838537007,6.205364415701487,5.124832445947234
29,59,132.301,-113.73240972792469,35.530354358284704,-2.8090769724834725,3.5266616147529923,2.6208080910464018,-0.0010600288201136113,0.0005475125303508433,9.92146153755812e-06,2.327999969699104,1.5494744334531796,-121.71372961603757,45.96467811062516,-1.0641646798807471,2.9646238989785063,2.13313442356964,-1233.952857142857,197.9545894221443,-57.504427033466115,6.753858996243433,5.548938817499253
30,60,132.328,-129.77644635334656,31.13741511064873,-9.898718383488722,3.8019444566830454,2.8323754037605884,-0.0014586718707807526,0.0004686113294229169,-0.00010679258501578972,2.791041879189871,1.9577567540569891,-147.726050439947,39.74036053628925,-10.59637644283318,3.314484015985222,2.4245095972862756,-1332.5728571428572,182.29532186916956,-91.13205922869828,7.145158790455971,5.855487462831315
31,61,132.355,-149.15417296891187,25.85049546316444,-16.704159574682485,4.134870812157234,3.1294233425904054,-0.0018000511103427506,0.00037625591779183074,-0.00022044052998300922,3.1516717713603093,2.287551347995744,-174.5798670803484,32.37506503311518,-19.82435765819198,3.6590491648465737,2.736141689032543,-1392.712857142857,161.40220802046426,-122.1432162136189,7.33027406151859,5.992879093079133
32,62,132.382,-164.75423531726855,19.821387159730957,-23.030010819099992,4.361005685468977,3.348547010221856,-0.0019926534288492773,0.0002730978941057056,-0.000327759448843351,3.2812026948239525,2.411056570262526,-197.59982194214368,24.080255198680135,-28.483165513367897,3.9193958454710645,2.9900527334525897,-1421.392857142857,135.87510609178474,-149.64754256145898,7.345145294330676,5.9984243775116814
33,63,132.409,-169.2327622439444,13.223190781528888,-28.694651805451247,4.3109238252245525,3.320522452653298,-0.0024770170149444235,0.0001620990087519645,-0.0004256681285398494,3.8218998356854157,2.970710609722343,-211.39532532240608,15.094081739665823,-36.32419862377335,4.004426796181466,3.0953302411955734,-1419.4528571428573,106.44691984888263,-172.85536679242765,7.197191383370379,5.8798099661363405
34,64,132.436,-180.1690750522545,6.2453458891405464,-33.53544610435441,4.404451349907464,3.464542505348597,-0.0023845161091794235,4.6446129604987206e-05,-0.0005113555316016931,3.5204568869066297,2.7126628914289537,-225.13145272460838,5.674544972191374,-43.122334579918714,4.08074591163181,3.2179968118694684,-1400.2528571428572,73.96255634681425,-191.10037348146258,6.953412426678073,5.7031935962041835
35,65,132.462,-180.0599258733079,-0.6459232737256286,-37.28834109539246,4.239051045253954,3.373293204076788,-0.002539984147863749,-6.622289494628814e-05,-0.0005800186367429141,3.5824373165709154,2.838371559886965,-231.25661288002257,-3.5533116156606788,-48.5005225518922,4.025888949906153,3.2312035903505136,-1323.2328571428573,40.662849924014594,-203.488815668543,6.433068920207778,5.28148197437143
36,66,132.489,-176.6020697355365,-7.781541473789623,-40.13355407527553,3.9887568774966353,3.224369311045246,-0.0025655401589750235,-0.00018131852990983268,-0.0006349547062694992,3.45276834005922,2.795824116189271,-230.95273019893898,-13.032617760443864,-52.71702782551256,3.852918107717197,3.151281253629523,-1195.4128571428573,4.948719581124529,-210.6155971723841,5.661729641221051,4.644980267183444
37,67,132.516,-168.84979363210846,-14.693745317406732,-41.82650022143678,3.6422762341414763,3.0012051283747527,-0.0024675207813861975,-0.0002912083630656142,-0.0006716607120549585,3.1516795772888133,2.6007182868291623,-218.59054809866183,-22.13774689678182,-55.41998454517708,3.473367127947491,2.8849233415253392,-1026.9928571428572,-30.907492507904042,-211.69543434553222,4.698222721799923,3.845502617353583
38,68,132.543,-152.09782668819568,-21.184079835410508,-42.31857367924026,3.0931256612838243,2.5937766867249765,-0.002519678521943699,-0.000392737368325857,-0.0006890827949523135,3.0801813836661234,2.651021571380403,-200.00844555362065,-30.607283394740975,-56.53178863487828,2.9950829129390106,2.5367268917547543,-823.7728571428571,-65.87632546119556,-206.6973241884014,3.5747605901479065,2.910552039940782
39,69,132.571,-133.71931414302705,-27.270111679201076,-41.54569986297259,2.5150969067772304,2.1778046880249997,-0.002517367369976061,-0.00048608177713846737,-0.0006862524224316109,2.9416554648562405,2.6517734932090096,-179.8660289786252,-38.45939026977153,-55.970458356423364,2.500128109958349,2.190525152426966,-588.3928571428571,-100.12995721848588,-195.24946186864878,2.302983190077589,1.8543342751349157
